시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,중랑구,의료,여자,80-84세,2,0,0,1,1,0,0,0,0,0
서울,중랑구,의료,여자,85세이상,29,3,4,4,13,1,0,1,0,0
서울,중랑구,감경,남자,65세미만,57,1,5,15,19,5,1,2,1,0
서울,중랑구,감경,남자,65-69세,98,10,9,30,30,5,1,3,0,0
서울,중랑구,감경,남자,70-74세,124,9,8,44,45,12,1,0,1,0
서울,중랑구,감경,남자,75-79세,173,9,9,52,77,11,2,2,0,3
서울,중랑구,감경,남자,80-84세,189,7,17,49,84,19,4,0,0,2
서울,중랑구,감경,남자,85세이상,216,5,16,77,87,19,4,0,2,0
서울,중랑구,감경,여자,65세미만,52,10,6,15,10,4,0,2,0,0
서울,중랑구,감경,여자,65-69세,76,2,10,26,23,5,1,1,0,1
서울,중랑구,감경,여자,70-74세,164,11,10,36,71,12,7,4,0,2
서울,중랑구,감경,여자,75-79세,305,18,10,91,131,32,7,4,2,0
서울,중랑구,감경,여자,80-84세,608,28,55,170,257,54,9,7,5,0
서울,중랑구,감경,여자,85세이상,861,74,138,289,298,43,3,3,1,0
서울,성북구,일반,남자,65세미만,67,7,2,10,11,1,0,8,8,3
서울,성북구,일반,남자,65-69세,149,10,5,32,31,6,1,27,4,5
서울,성북구,일반,남자,70-74세,214,11,11,47,62,11,4,15,5,3
서울,성북구,일반,남자,75-79세,332,20,24,72,105,23,1,24,9,3
서울,성북구,일반,남자,80-84세,533,17,38,136,193,43,10,20,12,9
서울,성북구,일반,남자,85세이상,623,16,59,148,252,43,6,27,8,3
서울,성북구,일반,여자,65세미만,74,5,2,14,8,1,2,14,6,4
서울,성북구,일반,여자,65-69세,173,6,9,23,34,8,1,26,9,6
서울,성북구,일반,여자,70-74세,358,17,27,57,83,20,5,36,12,6
서울,성북구,일반,여자,75-79세,695,20,41,107,199,56,13,82,37,4
서울,성북구,일반,여자,80-84세,1186,50,80,232,433,107,21,79,30,6
서울,성북구,일반,여자,85세이상,1517,74,192,441,536,93,11,49,10,7
서울,성북구,기초,남자,65세미만,92,7,5,17,25,7,2,4,5,6
서울,성북구,기초,남자,65-69세,110,3,5,15,42,8,2,9,8,3
서울,성북구,기초,남자,70-74세,80,2,7,9,23,8,2,10,6,2
